match_id,league_id,season,date,home_team_id,away_team_id,home_score,away_score,status,referee,venue,bookmaker,home_odds,draw_odds,away_odds,event_date,home_team_name,away_team_name,player_id,team_id,name,age,nationality,position,height,weight,appearances,goals,assists,yellow_cards,red_cards,country,founded,logo,venue_name,venue_address,venue_city,venue_capacity
831303,113.0,2022.0,2022-05-15,363.0,377.0,3.0,3.0,FT,K. Karlsson,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831304,113.0,2022.0,2022-05-15,366.0,2171.0,1.0,1.0,FT,B. Pandzic,Gamla Ullevi,,,,,,,,,,,,,,,,,,,,,,,,,,,
831305,113.0,2022.0,2022-05-15,378.0,373.0,5.0,1.0,FT,A. Ladebäck,PlatinumCars Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831306,113.0,2022.0,2022-05-14,370.0,372.0,2.0,0.0,FT,F. Klitte,Studenternas IP,,,,,,,,,,,,,,,,,,,,,,,,,,,
831307,113.0,2022.0,2022-05-14,2240.0,2163.0,1.0,1.0,FT,K. Sjöberg,Strandvallen,,,,,,,,,,,,,,,,,,,,,,,,,,,
831308,113.0,2022.0,2022-05-21,377.0,370.0,2.0,2.0,FT,M. Al Hakim,Friends Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831309,113.0,2022.0,2022-05-21,811.0,2163.0,1.0,4.0,FT,G. Maqedonci,Olympia,,,,,,,,,,,,,,,,,,,,,,,,,,,
831310,113.0,2022.0,2022-05-22,363.0,378.0,3.0,0.0,FT,K. Sjöberg,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831311,113.0,2022.0,2022-05-22,372.0,366.0,3.0,1.0,FT,G. Nyberg,Borås Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831312,113.0,2022.0,2022-05-22,374.0,364.0,1.0,0.0,FT,A. Ladebäck,Guldfågeln Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831313,113.0,2022.0,2022-05-22,375.0,367.0,1.0,2.0,FT,F. Klitte,Eleda Stadion,,,,,,,,,,,,,,,,,,,,,,,,,,,
831314,113.0,2022.0,2022-05-23,373.0,2240.0,2.0,0.0,FT,K. Karlsson,NP3 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831315,113.0,2022.0,2022-05-22,2171.0,2172.0,2.0,1.0,FT,A. Ekberg,Varberg Energi Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831316,113.0,2022.0,2022-05-28,367.0,370.0,4.0,3.0,FT,G. Maqedonci,Bravida Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831317,113.0,2022.0,2022-05-29,2172.0,375.0,0.0,2.0,FT,V. Wolf,Stora Valla,,,,,,,,,,,,,,,,,,,,,,,,,,,
831318,113.0,2022.0,2022-05-29,364.0,2171.0,4.0,0.0,FT,G. Nyberg,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831319,113.0,2022.0,2022-05-29,811.0,377.0,1.0,2.0,FT,K. Sjöberg,Olympia,,,,,,,,,,,,,,,,,,,,,,,,,,,
831320,113.0,2022.0,2022-05-28,366.0,373.0,2.0,0.0,FT,M. Al Hakim,Gamla Ullevi,,,,,,,,,,,,,,,,,,,,,,,,,,,
831321,113.0,2022.0,2022-05-29,378.0,372.0,2.0,2.0,FT,F. Klitte,PlatinumCars Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831322,113.0,2022.0,2022-05-29,2163.0,363.0,1.0,0.0,FT,J. Östling,Finnvedsvallen,,,,,,,,,,,,,,,,,,,,,,,,,,,
831323,113.0,2022.0,2022-05-28,2240.0,374.0,1.0,1.0,FT,B. Pandzic,Strandvallen,,,,,,,,,,,,,,,,,,,,,,,,,,,
831324,113.0,2022.0,2022-06-26,2172.0,377.0,1.0,1.0,FT,K. Karlsson,Stora Valla,,,,,,,,,,,,,,,,,,,,,,,,,,,
831325,113.0,2022.0,2022-06-26,363.0,367.0,2.0,2.0,FT,F. Klitte,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831326,113.0,2022.0,2022-06-27,372.0,2171.0,4.0,1.0,FT,M. Al Hakim,Borås Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831327,113.0,2022.0,2022-06-27,370.0,366.0,1.0,2.0,FT,A. Ekberg,Studenternas IP,,,,,,,,,,,,,,,,,,,,,,,,,,,
831328,113.0,2022.0,2022-06-27,374.0,2163.0,1.0,0.0,FT,V. Wolf,Guldfågeln Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831329,113.0,2022.0,2022-06-27,375.0,811.0,2.0,1.0,FT,G. Nyberg,Eleda Stadion,,,,,,,,,,,,,,,,,,,,,,,,,,,
831330,113.0,2022.0,2022-06-26,2240.0,378.0,1.0,1.0,FT,G. Maqedonci,Strandvallen,,,,,,,,,,,,,,,,,,,,,,,,,,,
831331,113.0,2022.0,2022-06-26,373.0,364.0,2.0,5.0,FT,B. Pandzic,NP3 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831332,113.0,2022.0,2022-07-02,377.0,2240.0,0.0,1.0,FT,F. Klitte,Friends Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831333,113.0,2022.0,2022-07-03,367.0,372.0,1.0,1.0,FT,G. Nyberg,Bravida Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831334,113.0,2022.0,2022-07-03,364.0,363.0,1.0,0.0,FT,M. Al Hakim,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831335,113.0,2022.0,2022-07-02,811.0,374.0,1.0,1.0,FT,B. Pandzic,Olympia,,,,,,,,,,,,,,,,,,,,,,,,,,,
831336,113.0,2022.0,2022-07-04,366.0,2172.0,2.0,0.0,FT,K. Sjöberg,Gamla Ullevi,,,,,,,,,,,,,,,,,,,,,,,,,,,
831337,113.0,2022.0,2022-07-03,378.0,370.0,0.0,1.0,FT,K. Karlsson,PlatinumCars Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831338,113.0,2022.0,2022-07-01,373.0,375.0,2.0,1.0,FT,V. Wolf,NP3 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831339,113.0,2022.0,2022-07-03,2171.0,2163.0,3.0,0.0,FT,G. Maqedonci,Varberg Energi Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831340,113.0,2022.0,2022-07-09,2172.0,378.0,1.0,1.0,FT,B. Pandzic,Stora Valla,,,,,,,,,,,,,,,,,,,,,,,,,,,
831341,113.0,2022.0,2022-07-11,811.0,364.0,0.0,2.0,FT,G. Maqedonci,Olympia,,,,,,,,,,,,,,,,,,,,,,,,,,,
831342,113.0,2022.0,2022-07-11,363.0,366.0,3.0,0.0,FT,A. Ekberg,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831343,113.0,2022.0,2022-07-10,372.0,377.0,2.0,2.0,FT,G. Nyberg,Borås Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831344,113.0,2022.0,2022-07-11,2163.0,373.0,1.0,1.0,FT,K. Sjöberg,Finnvedsvallen,,,,,,,,,,,,,,,,,,,,,,,,,,,
831345,113.0,2022.0,2022-07-10,374.0,370.0,1.0,1.0,FT,J. Östling,Guldfågeln Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831346,113.0,2022.0,2022-07-09,375.0,2171.0,3.0,0.0,FT,K. Karlsson,Eleda Stadion,,,,,,,,,,,,,,,,,,,,,,,,,,,
831347,113.0,2022.0,2022-07-10,2240.0,367.0,1.0,2.0,FT,A. Ladebäck,Strandvallen,,,,,,,,,,,,,,,,,,,,,,,,,,,
831348,113.0,2022.0,2022-07-17,377.0,374.0,1.0,0.0,FT,A. Ladebäck,Friends Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
